name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"La Crosse-Onalaska, WI-MN Metro Area",29100,73340,170190,113089,26190,3396,16116,23796,9968,2486,1723
"Lafayette, LA Metro Area",29180,60892,413428,278503,83309,13426,20057,53669,15223,5573,2509
"Lafayette-West Lafayette, IN Metro Area",29200,62011,226805,132233,34854,5781,11520,27757,12943,2130,4735
"La Grande, OR Micro Area",29260,65661,26144,17593,4749,966,1638,3023,1072,231,264
"LaGrange, GA-AL Micro Area",29300,54888,104522,71430,21423,4365,6828,8747,4144,1277,653
"Lake Charles, LA Metro Area",29340,66700,244027,163269,48531,9922,15361,25044,9144,2175,1902
"Lake City, FL Micro Area",29380,59205,71789,50225,13635,3857,5710,5772,2126,233,312
"Lake Havasu City-Kingman, AZ Metro Area",29420,57684,220517,172400,47257,11616,16846,16295,7148,1553,1243
"Lakeland-Winter Haven, FL Metro Area",29460,65978,790694,548366,151785,29112,55813,86729,31509,5928,4454
"Lake of the Woods, VA Micro Area",29470,94008,37822,27059,8615,1036,2072,5069,2422,311,194
"Lancaster, PA Metro Area",29540,86959,557931,380042,110277,17733,30355,78303,33312,6444,5216
"Lansing-East Lansing, MI Metro Area",29620,72550,472669,310203,62915,9968,31546,68822,31211,7846,8558
"Laramie, WY Micro Area",29660,61917,38249,21635,2471,637,1941,5920,3676,400,1907
"Laredo, TX Metro Area",29700,63058,269294,154265,28240,6161,11520,23302,7324,1579,774
"Lares, PR Micro Area",29720,18917,27855,21176,4695,372,2265,3364,986,18,136
"Las Cruces, NM Metro Area",29740,56848,224266,140141,27420,6262,12475,25007,14216,2512,2655
"Las Vegas, NM Micro Area",29780,50585,30999,23267,4671,1585,2051,3450,2493,172,306
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",29820,76472,2329548,1625416,384222,65715,138598,297729,107764,29861,16669
"Laurel, MS Micro Area",29860,51236,82531,54628,15222,3622,5919,6465,2742,765,379
"Laurinburg, NC Micro Area",29900,45730,33590,22661,6781,1389,2321,2278,1133,149,212
"Lawrence, KS Metro Area",29940,69746,120302,71726,10931,2394,3791,20569,11908,2235,3442
"Lawrenceburg, TN Micro Area",29980,54706,45385,30553,10345,2726,2191,2830,1420,255,132
"Lawton, OK Metro Area",30020,60665,127310,82634,22728,4788,6685,13179,5197,832,793
"Lebanon, MO Micro Area",30060,53282,36390,24689,8924,1520,1877,2595,1177,193,65
"Lebanon, PA Metro Area",30140,78425,144186,99692,36349,5019,7906,14856,7144,1233,961
"Lebanon-Claremont, NH-VT Micro Area",30150,83269,223586,165828,41699,6501,14310,36502,21086,5518,5417
"Le Mars, IA Micro Area",30180,83251,25747,17506,5872,665,2698,2919,615,190,72
"Lewisburg, PA Micro Area",30260,76404,42456,29150,9567,2456,2342,4220,2156,667,682
"Lewisburg, TN Micro Area",30280,71049,36049,24613,8295,1360,2182,4109,1267,140,171
"Lewiston, ID-WA Metro Area",30300,72475,65164,46385,11597,2800,5591,8071,2584,783,745
"Lewiston-Auburn, ME Metro Area",30340,67873,113423,78846,23345,6157,9475,12701,4566,720,428
"Lewistown, PA Micro Area",30380,63953,46041,32414,13280,1915,2910,3043,1385,101,311
"Lexington, NE Micro Area",30420,70652,26242,16958,4336,1073,1614,2328,503,150,151
"Lexington-Fayette, KY Metro Area",30460,71966,522560,346634,64855,16249,27719,83637,40344,11815,9731
"Lexington Park, MD Metro Area",30500,126256,209439,142853,34646,4267,12205,29042,19320,2085,2008
"Liberal, KS Micro Area",30580,63827,21486,12602,2990,760,1481,1018,334,50,31
"Lima, OH Metro Area",30620,64038,101348,68305,23502,4135,7645,8371,3796,892,673
"Lincoln, IL Micro Area",30660,66358,27713,19810,6724,1355,1658,2749,1011,230,152
"Lincoln, NE Metro Area",30700,75049,344337,216747,37331,7581,25173,56919,22658,4847,5358
"Little Rock-North Little Rock-Conway, AR Metro Area",30780,67154,758629,510660,122834,22664,44208,106281,45436,13079,7234
"Lock Haven, PA Micro Area",30820,60816,37798,25078,10562,1000,2327,3396,1422,194,381
"Logan, UT-ID Metro Area",30860,81126,155102,82037,16361,1897,6099,21156,8824,1174,1828
"Logansport, IN Micro Area",30900,56403,37680,26031,9529,1388,2350,2704,1298,203,86
"Longview, TX Metro Area",30980,66647,291044,192932,47859,10579,18825,27747,10156,1826,1033
"Longview-Kelso, WA Metro Area",31020,76531,112360,78946,19859,5285,10349,9404,3630,536,340
"Los Alamos, NM Micro Area",31060,147139,19435,14040,1117,172,779,3590,3247,365,2590
"Los Angeles-Long Beach-Anaheim, CA Metro Area",31080,95958,12974487,9135404,1600066,187614,651321,2205213,855674,258426,149452
"Louisville/Jefferson County, KY-IN Metro Area",31140,73863,1372558,954675,227919,49791,85167,188635,91779,21813,12214
"Lubbock, TX Metro Area",31180,63629,358708,217500,47421,10300,17018,41806,17975,3883,5030
"Ludington, MI Micro Area",31220,64748,29207,21582,6047,857,2712,3527,1700,351,171
"Lufkin, TX Micro Area",31260,60960,87275,57523,16177,4022,5555,6488,3173,446,215
"Lumberton, NC Micro Area",31300,41978,116902,74911,23900,2740,7650,7187,3125,532,153
"Lynchburg, VA Metro Area",31340,68996,263798,178570,46735,8719,15704,34863,15458,2452,2747
"Macomb, IL Micro Area",31380,52795,26920,16476,4520,882,1730,2660,1744,212,559
"Macon-Bibb County, GA Metro Area",31420,59526,234943,158773,42950,10653,13955,20658,11863,4098,2030
"Madison, IN Micro Area",31500,64577,32998,23212,7103,1667,2733,2551,1574,168,294
"Madison, WI Metro Area",31540,88804,691830,467729,82399,11024,45116,142503,60620,13579,17701
"Madisonville, KY Micro Area",31580,56815,45119,31383,9457,2636,3432,2964,1709,385,250
"Magnolia, AR Micro Area",31620,55334,22349,13977,5058,406,963,2026,883,64,92
"Malvern, AR Micro Area",31680,55405,33180,24053,7460,1957,2319,2613,1393,105,104
"Manchester-Nashua, NH Metro Area",31700,103545,426378,307804,66628,12446,28782,78243,39666,5321,4616
"Manhattan, KS Metro Area",31740,65469,133965,73359,13201,2346,7920,17470,7923,1292,2927
"Manitowoc, WI Micro Area",31820,69148,81406,59083,19641,1683,7318,9490,2989,672,223
"Mankato, MN Metro Area",31860,75808,104282,63208,13901,1798,9087,14866,4564,1237,1358
"Mansfield, OH Metro Area",31900,59509,125099,87570,32244,5343,7810,10053,4333,686,595
"Marietta, OH Micro Area",31930,63603,58978,42289,15343,1008,5433,5750,2441,613,455
"Marinette, WI-MI Micro Area",31940,61417,65293,48977,16365,1971,6907,6711,2263,292,197
"Marion, IN Micro Area",31980,53522,66295,43823,13271,3110,4890,5417,2845,245,401
"Marion, NC Micro Area",32000,57168,44817,32913,8985,2687,4229,4079,1452,259,168
"Marion, OH Micro Area",32020,59371,65020,45833,15481,3877,4571,4436,1832,329,161
"Marion-Herrin, IL Micro Area",32060,65604,66876,48287,11716,2150,5763,7570,3792,548,764
"Marquette, MI Micro Area",32100,65429,67112,44729,9773,1710,4993,11034,3854,794,780
"Marshall, MN Micro Area",32140,75303,25503,16509,4022,388,2108,3634,1122,122,264
"Marshall, MO Micro Area",32180,57931,23231,14816,4788,728,1011,2152,926,209,71
"Marshalltown, IA Micro Area",32260,73315,40114,26501,7623,1220,2990,4012,1538,279,150
"Martin, TN Micro Area",32280,51880,33016,21141,7199,2081,1068,2945,1296,170,385
"Martinsville, VA Micro Area",32300,49860,63638,45563,12245,3487,6097,4866,2351,258,159
"Maryville, MO Micro Area",32340,59315,20774,12448,4166,715,925,2009,1124,125,215
"Mason City, IA Micro Area",32380,68926,49982,36043,11106,1484,5536,5701,2023,396,262
"Massena-Ogdensburg, NY Micro Area",32390,62850,107226,71171,19759,4176,9875,9261,6481,1099,1173
"Mayagüez, PR Metro Area",32420,21163,209892,154424,39263,5430,14966,31000,7414,1423,2497
"Mayfield, KY Micro Area",32460,50772,36630,24924,8124,2022,2740,2577,1450,300,259
"McAlester, OK Micro Area",32540,55310,43561,30395,8901,1992,2818,4013,1655,323,149
"McAllen-Edinburg-Mission, TX Metro Area",32580,54338,891977,516001,115498,19435,29511,72515,25290,5239,3425
"McComb, MS Micro Area",32620,44597,53441,35121,10597,1899,4484,3119,1626,234,183
"McMinnville, TN Micro Area",32660,55487,42166,29105,11435,2974,1742,2674,1100,226,106
"McPherson, KS Micro Area",32700,78851,30205,20109,4080,714,2286,4498,1779,181,433
"Meadville, PA Micro Area",32740,60476,82716,58650,24194,3090,4822,7744,3697,472,446
"Medford, OR Metro Area",32780,73999,222645,161295,34060,7198,14549,31660,12721,4511,2249
"Memphis, TN-MS-AR Metro Area",32820,66401,1341924,891153,220602,38461,69602,167636,78327,18105,12348
"Menomonie, WI Micro Area",32860,74824,45527,28594,8701,907,3583,5401,2279,259,514
"Merced, CA Metro Area",32900,65510,290201,174127,45831,5831,12419,18484,5816,1562,835
"Meridian, MS Micro Area",32940,49822,86818,59584,13923,3634,7793,8311,3528,922,635
"Mexico, MO Micro Area",33020,59448,24548,17031,5778,1025,1656,1750,896,117,99
"Miami, OK Micro Area",33060,49947,30341,19639,5757,1255,2055,2023,670,157,95
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",33100,76527,6249291,4514337,1023776,136152,428921,1012613,421045,152883,68341
"Michigan City-La Porte, IN Metro Area",33140,71055,111917,79325,24631,6735,6911,11975,4581,907,527
"Middlesborough, KY Micro Area",33180,31354,23509,16627,5218,1074,1364,1590,640,312,79
"Midland, MI Metro Area",33220,77705,83757,59935,14068,2152,6618,13117,6366,1006,1419
"Midland, TX Metro Area",33260,92952,180019,112412,20757,6820,9753,23935,8286,1541,784
"Milledgeville, GA Micro Area",33300,54403,43642,27781,7000,2337,2521,3628,1892,505,743
"Milwaukee-Waukesha, WI Metro Area",33340,78218,1568938,1079400,240145,31861,96446,277001,108983,24203,17401
"Minden, LA Micro Area",33380,41182,35820,24792,9152,1823,1882,2305,771,109,108
"Mineral Wells, TX Micro Area",33420,67674,29295,20182,5938,1537,1798,2478,949,113,55
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",33460,99833,3713668,2545311,438087,70537,268063,746981,290803,68861,48754
"Minot, ND Metro Area",33500,78200,76484,49682,12584,1865,5619,9908,3389,544,357
"Missoula, MT Metro Area",33540,74989,125631,86958,14572,2909,7217,24693,10454,3233,2055
"Mitchell, SD Micro Area",33580,69101,25808,17382,5293,674,2497,2909,651,224,125
"Moberly, MO Micro Area",33620,53033,24365,16995,5796,1445,1930,2236,725,92,77
"Mobile, AL Metro Area",33660,58880,412590,280484,79579,14458,24600,46976,19053,4424,2390
"Modesto, CA Metro Area",33700,81468,553990,354367,90617,12889,29062,47465,15085,5037,2046
